datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10
19.03.2023;Oberbürgermeisterwahl;6411000;97071;97071;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;97072;97072;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;97073;97073;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;97074;97074;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;97075;97075;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;97076;97076;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;97077;97077;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;98080;98080;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;98081;98081;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;99090;99090;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;99091;99091;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;99092;99092;1;0;;;;;;;;;;;;;;;;;;
